timestamp,instance_type,az_name,price
2025-08-03T07:50:17Z,g5.xlarge,us-east-1b,0.4304
2025-08-03T08:18:07Z,p3.2xlarge,us-east-1a,0.6832
2025-08-03T08:19:07Z,p3.2xlarge,us-east-1b,0.8058
2025-08-03T08:33:10Z,g5.xlarge,us-east-1a,0.4175
2025-08-03T09:17:52Z,g4dn.xlarge,us-east-1a,0.2087
2025-08-03T10:19:09Z,p3.2xlarge,us-west-2a,0.8879
2025-08-03T10:47:24Z,g4dn.xlarge,us-west-2a,0.2186
2025-08-03T11:47:40Z,g5.xlarge,us-east-1b,0.4318
2025-08-03T13:32:49Z,g4dn.xlarge,us-east-1a,0.2102
2025-08-03T13:33:40Z,g5.xlarge,us-east-1a,0.4192
2025-08-03T14:47:48Z,g4dn.xlarge,us-east-1b,0.2123
2025-08-03T15:03:42Z,p3.2xlarge,us-east-1a,0.6903
2025-08-03T15:33:02Z,g4dn.xlarge,us-west-2a,0.2189
2025-08-03T15:47:37Z,g5.xlarge,us-west-2a,0.4857
2025-08-03T16:17:48Z,g5.xlarge,us-east-1b,0.4349
2025-08-03T17:18:17Z,p3.2xlarge,us-east-1b,0.8118
2025-08-03T18:03:25Z,p3.2xlarge,us-west-2a,0.889
2025-08-03T19:20:39Z,g4dn.xlarge,us-east-1a,0.2109
2025-08-03T19:48:10Z,g4dn.xlarge,us-east-1b,0.2125
2025-08-03T20:03:07Z,p3.2xlarge,us-east-1a,0.6899
2025-08-03T21:02:35Z,g4dn.xlarge,us-west-2a,0.2195
2025-08-03T21:03:39Z,p3.2xlarge,us-east-1b,0.8163
2025-08-03T21:17:52Z,g5.xlarge,us-east-1a,0.4237
2025-08-03T23:17:54Z,p3.2xlarge,us-east-1a,0.69
2025-08-03T23:49:16Z,g5.xlarge,us-west-2a,0.4918
2025-08-04T00:02:29Z,g5.xlarge,us-east-1b,0.4376
2025-08-04T00:47:38Z,p3.2xlarge,us-west-2a,0.8901
2025-08-04T02:02:39Z,g4dn.xlarge,us-east-1b,0.2138
2025-08-04T02:18:06Z,p3.2xlarge,us-east-1b,0.8247
2025-08-04T02:47:39Z,g4dn.xlarge,us-east-1a,0.2128
2025-08-04T03:17:35Z,g5.xlarge,us-west-2a,0.4983
2025-08-04T03:47:50Z,g5.xlarge,us-east-1b,0.4406
2025-08-04T04:48:19Z,g4dn.xlarge,us-west-2a,0.2203
2025-08-04T05:33:04Z,g5.xlarge,us-east-1a,0.4282
2025-08-04T07:03:09Z,g4dn.xlarge,us-east-1a,0.2139
2025-08-04T07:18:09Z,g4dn.xlarge,us-east-1b,0.2143
2025-08-04T07:33:42Z,p3.2xlarge,us-east-1a,0.696
2025-08-04T07:47:57Z,p3.2xlarge,us-west-2a,0.8959
2025-08-04T09:18:26Z,p3.2xlarge,us-east-1b,0.8403
2025-08-04T10:18:03Z,g5.xlarge,us-west-2a,0.5033
2025-08-04T10:48:30Z,p3.2xlarge,us-east-1a,0.6986
2025-08-04T11:32:44Z,g4dn.xlarge,us-west-2a,0.2193
2025-08-04T11:33:04Z,g4dn.xlarge,us-east-1b,0.2152
2025-08-04T12:17:48Z,g5.xlarge,us-east-1b,0.4419
2025-08-04T12:33:09Z,p3.2xlarge,us-west-2a,0.8953
2025-08-04T12:48:42Z,p3.2xlarge,us-east-1b,0.8469
2025-08-04T13:33:20Z,g5.xlarge,us-east-1a,0.4345
2025-08-04T14:47:46Z,g4dn.xlarge,us-east-1b,0.2153
2025-08-04T15:32:30Z,g5.xlarge,us-west-2a,0.5088
2025-08-04T16:02:47Z,g4dn.xlarge,us-east-1a,0.215
2025-08-04T16:18:24Z,g5.xlarge,us-east-1b,0.4436
2025-08-04T17:18:27Z,p3.2xlarge,us-west-2a,0.8965
2025-08-04T17:32:36Z,p3.2xlarge,us-east-1a,0.7005
2025-08-04T17:46:48Z,g5.xlarge,us-east-1a,0.4343
2025-08-04T18:01:55Z,p3.2xlarge,us-east-1b,0.851
2025-08-04T19:47:14Z,g4dn.xlarge,us-west-2a,0.2175
2025-08-04T20:46:48Z,p3.2xlarge,us-east-1a,0.7069
2025-08-04T21:17:48Z,p3.2xlarge,us-west-2a,0.9025
2025-08-04T21:31:52Z,g5.xlarge,us-east-1a,0.4339
2025-08-04T23:46:48Z,g5.xlarge,us-east-1b,0.4441
2025-08-04T23:47:26Z,g5.xlarge,us-west-2a,0.5102
2025-08-05T00:16:46Z,g4dn.xlarge,us-east-1a,0.2151
2025-08-05T00:17:16Z,p3.2xlarge,us-east-1a,0.7102
2025-08-05T00:47:45Z,g4dn.xlarge,us-east-1b,0.2166
2025-08-05T01:16:24Z,g5.xlarge,us-east-1a,0.435
2025-08-05T01:47:16Z,p3.2xlarge,us-east-1b,0.8514
2025-08-05T04:02:41Z,g5.xlarge,us-west-2a,0.5099
2025-08-05T04:17:15Z,g4dn.xlarge,us-west-2a,0.2186
2025-08-05T04:31:45Z,p3.2xlarge,us-east-1a,0.715
2025-08-05T05:17:42Z,g4dn.xlarge,us-east-1b,0.2158
2025-08-05T06:01:49Z,g5.xlarge,us-east-1b,0.4453
2025-08-05T06:17:10Z,p3.2xlarge,us-west-2a,0.8981
2025-08-05T07:46:43Z,p3.2xlarge,us-east-1b,0.857
2025-08-05T07:47:30Z,g5.xlarge,us-west-2a,0.5087
2025-08-05T08:03:43Z,g4dn.xlarge,us-west-2a,0.2188
2025-08-05T08:31:46Z,g4dn.xlarge,us-east-1a,0.2157
2025-08-05T08:47:20Z,g5.xlarge,us-east-1a,0.4339
2025-08-05T11:03:21Z,p3.2xlarge,us-west-2a,0.9042
2025-08-05T11:31:54Z,g5.xlarge,us-east-1b,0.4477
2025-08-05T11:47:46Z,g4dn.xlarge,us-east-1a,0.214
2025-08-05T11:48:16Z,g4dn.xlarge,us-east-1b,0.2161
2025-08-05T12:16:50Z,p3.2xlarge,us-east-1a,0.7142
2025-08-05T13:47:24Z,g5.xlarge,us-west-2a,0.5141
2025-08-05T15:31:43Z,p3.2xlarge,us-east-1b,0.8646
2025-08-05T15:32:34Z,p3.2xlarge,us-west-2a,0.9015
2025-08-05T16:17:17Z,g4dn.xlarge,us-west-2a,0.2177
2025-08-05T17:01:53Z,g5.xlarge,us-east-1a,0.4308
2025-08-05T17:16:49Z,g4dn.xlarge,us-east-1a,0.2144
2025-08-05T17:32:10Z,g5.xlarge,us-east-1b,0.448
2025-08-05T18:31:51Z,g5.xlarge,us-west-2a,0.5168
2025-08-05T20:16:46Z,g4dn.xlarge,us-east-1b,0.2174
2025-08-05T21:46:43Z,g4dn.xlarge,us-west-2a,0.2187
2025-08-05T23:02:00Z,p3.2xlarge,us-west-2a,0.9019
2025-08-05T23:02:57Z,p3.2xlarge,us-east-1b,0.8669
2025-08-05T23:16:54Z,g5.xlarge,us-east-1a,0.4295
2025-08-06T00:47:31Z,g5.xlarge,us-west-2a,0.519
2025-08-06T01:03:47Z,p3.2xlarge,us-east-1a,0.7164
2025-08-06T02:16:55Z,g4dn.xlarge,us-east-1a,0.2145
2025-08-06T02:31:33Z,g5.xlarge,us-east-1b,0.449
2025-08-06T04:16:54Z,g4dn.xlarge,us-west-2a,0.2194
2025-08-06T04:31:59Z,p3.2xlarge,us-east-1b,0.8677
2025-08-06T05:17:15Z,p3.2xlarge,us-west-2a,0.8987
2025-08-06T06:03:33Z,p3.2xlarge,us-east-1a,0.7172
2025-08-06T06:48:08Z,g5.xlarge,us-east-1a,0.4288
2025-08-06T07:31:56Z,g4dn.xlarge,us-east-1b,0.2182
2025-08-06T07:32:26Z,g5.xlarge,us-west-2a,0.518
2025-08-06T08:31:56Z,g4dn.xlarge,us-east-1a,0.2138
2025-08-06T09:46:45Z,g4dn.xlarge,us-west-2a,0.2206
2025-08-06T10:32:56Z,g5.xlarge,us-east-1a,0.4292
2025-08-06T10:33:12Z,g5.xlarge,us-west-2a,0.518
2025-08-06T10:48:29Z,p3.2xlarge,us-east-1a,0.7195
2025-08-06T11:01:55Z,g5.xlarge,us-east-1b,0.4489
2025-08-06T11:03:27Z,p3.2xlarge,us-west-2a,0.8939
2025-08-06T11:31:46Z,p3.2xlarge,us-east-1b,0.8725
2025-08-06T14:32:14Z,g4dn.xlarge,us-east-1a,0.2146
2025-08-06T15:02:04Z,g4dn.xlarge,us-east-1b,0.2196
2025-08-06T15:16:47Z,g4dn.xlarge,us-west-2a,0.222
2025-08-06T15:46:36Z,g5.xlarge,us-west-2a,0.5173
2025-08-06T16:31:27Z,g5.xlarge,us-east-1a,0.4317
2025-08-06T17:32:02Z,p3.2xlarge,us-east-1b,0.8769
2025-08-06T19:02:51Z,p3.2xlarge,us-west-2a,0.8955
2025-08-06T19:03:04Z,p3.2xlarge,us-east-1a,0.7256
2025-08-06T19:46:55Z,g4dn.xlarge,us-east-1b,0.2203
2025-08-06T19:47:40Z,g5.xlarge,us-east-1b,0.4487
2025-08-06T20:31:53Z,g4dn.xlarge,us-east-1a,0.2143
2025-08-06T22:01:27Z,g4dn.xlarge,us-west-2a,0.2194
2025-08-06T22:03:17Z,p3.2xlarge,us-east-1b,0.8789
2025-08-07T00:47:20Z,g5.xlarge,us-east-1a,0.4331
2025-08-07T00:47:41Z,g5.xlarge,us-west-2a,0.5198
2025-08-07T01:48:55Z,p3.2xlarge,us-east-1a,0.7266
2025-08-07T02:16:54Z,g4dn.xlarge,us-east-1a,0.2124
2025-08-07T03:17:13Z,p3.2xlarge,us-west-2a,0.9023
2025-08-07T03:31:45Z,p3.2xlarge,us-east-1b,0.8875
2025-08-07T03:46:56Z,g4dn.xlarge,us-east-1b,0.2223
2025-08-07T04:01:39Z,g5.xlarge,us-west-2a,0.5189
2025-08-07T04:32:25Z,g5.xlarge,us-east-1b,0.4475
2025-08-07T05:17:21Z,g5.xlarge,us-east-1a,0.4307
2025-08-07T06:17:26Z,g4dn.xlarge,us-west-2a,0.2206
2025-08-07T06:47:19Z,p3.2xlarge,us-west-2a,0.9029
2025-08-07T08:31:55Z,g4dn.xlarge,us-east-1b,0.2229
2025-08-07T08:47:28Z,p3.2xlarge,us-east-1a,0.7311
2025-08-07T09:01:55Z,g4dn.xlarge,us-east-1a,0.2125
2025-08-07T09:31:39Z,g5.xlarge,us-west-2a,0.5198
2025-08-07T12:32:13Z,p3.2xlarge,us-east-1a,0.7328
2025-08-07T12:32:13Z,p3.2xlarge,us-east-1b,0.8948
2025-08-07T13:32:07Z,g5.xlarge,us-east-1b,0.4464
2025-08-07T13:46:55Z,g5.xlarge,us-east-1a,0.4317
2025-08-07T14:31:32Z,g4dn.xlarge,us-west-2a,0.2204
2025-08-07T15:02:25Z,g4dn.xlarge,us-east-1b,0.2239
2025-08-07T15:31:28Z,g5.xlarge,us-west-2a,0.5223
2025-08-07T15:32:43Z,p3.2xlarge,us-west-2a,0.911
2025-08-07T16:46:54Z,g4dn.xlarge,us-east-1a,0.213
2025-08-07T17:32:08Z,p3.2xlarge,us-east-1a,0.7386
2025-08-07T18:47:19Z,p3.2xlarge,us-east-1b,0.8999
2025-08-07T19:46:40Z,g4dn.xlarge,us-west-2a,0.2207
2025-08-07T20:17:18Z,g5.xlarge,us-east-1b,0.4487
2025-08-07T21:01:55Z,g4dn.xlarge,us-east-1b,0.2248
2025-08-07T21:17:06Z,p3.2xlarge,us-west-2a,0.9155
2025-08-07T21:20:03Z,p3.2xlarge,us-west-2a,0.9155
2025-08-07T21:31:59Z,p3.2xlarge,us-east-1a,0.7412
2025-08-07T21:32:10Z,g4dn.xlarge,us-east-1a,0.2138
2025-08-07T21:32:23Z,g5.xlarge,us-east-1a,0.4318
2025-08-07T23:17:47Z,g5.xlarge,us-west-2a,0.5172
2025-08-07T23:32:14Z,p3.2xlarge,us-east-1b,0.9046
2025-08-07T23:47:52Z,g5.xlarge,us-east-1b,0.4507
2025-08-08T00:16:25Z,g4dn.xlarge,us-west-2a,0.222
2025-08-08T01:47:35Z,g4dn.xlarge,us-east-1b,0.2254
2025-08-08T03:46:56Z,p3.2xlarge,us-east-1a,0.7456
2025-08-08T04:02:44Z,p3.2xlarge,us-west-2a,0.9166
2025-08-08T04:31:25Z,g4dn.xlarge,us-east-1a,0.2149
2025-08-08T06:01:35Z,g5.xlarge,us-west-2a,0.5159
2025-08-08T06:02:32Z,p3.2xlarge,us-east-1b,0.9106
2025-08-08T06:17:02Z,g5.xlarge,us-east-1a,0.4272
2025-08-08T06:31:29Z,g4dn.xlarge,us-west-2a,0.2235
2025-08-08T06:46:55Z,g4dn.xlarge,us-east-1b,0.2252
2025-08-08T07:33:01Z,g5.xlarge,us-east-1b,0.4494
2025-08-08T08:01:55Z,g4dn.xlarge,us-east-1a,0.2161
2025-08-08T08:17:59Z,p3.2xlarge,us-west-2a,0.9197
2025-08-08T09:32:27Z,p3.2xlarge,us-east-1b,0.9082
2025-08-08T09:32:53Z,g5.xlarge,us-west-2a,0.5143
2025-08-08T09:46:57Z,g5.xlarge,us-east-1a,0.4228
2025-08-08T10:31:42Z,g4dn.xlarge,us-east-1b,0.2241
